단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
450.0,164.2,173.0,0.9491329479768784,0.0820999999999999,39.15,78.7,36,79,115,1.362835
1150.0,297.2,250.0,1.1888,0.0742999999999999,1.25,18.4,64,49,2,2.01561
560.0,63.6,10.0,6.36,0.0636,62.34,112.7,33,33,672,1.315164
320.0,158.6,90.0,1.762222222222222,0.0793,68.26,110.9,77,138,140,0.6491697
800.0,167.0,84.0,1.988095238095238,0.0835,45.36,121.1,67,67,58,7.266841
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,31.16,129.8,101,95,68,0.5479724
604.0,208.7,500.0,0.4174,0.052175,95.15,34.8,45,46,229,1.716412
604.0,306.6,600.0,0.511,0.07665,59.28,130.4,72,79,75,3.03364
146.0,187.4,1600.0,0.117125,0.04685,73.63,121.2,117,112,105,0.3946269
320.0,122.7,77.0,1.5935064935064935,0.06135,98.27,36.3,80,84,230,1.593427
324.0,51.3,9.0,5.699999999999999,0.0513,18.1,81.1,48,3,46,0.4998396
460.0,33.5,18.0,1.8611111111111112,0.0558333333333333,43.61,89.3,131,0,0,2.023612
560.0,55.8,10.0,5.58,0.0557999999999999,27.12,129.8,51,356,32,2.042118
324.0,78.3,25.0,3.132,0.0783,52.27,112.5,13,65,268,5.306342
450.0,124.8,227.0,0.5497797356828193,0.0624,90.36,87.9,62,78,378,3.592049
320.0,122.7,77.0,1.5935064935064935,0.06135,34.81,69.9,25,92,76,1.593427
800.0,66.0,75.0,0.88,0.066,5.43,42.0,30,30,16,0.3451779
460.0,33.5,18.0,1.8611111111111112,0.0558333333333333,74.77,69.6,40,0,0,2.023612
190.0,87.6,456.0,0.1921052631578947,0.0219,6.96,30.0,88,112,4,1.338738
560.0,71.1,71.0,1.0014084507042254,0.0711,92.25,68.7,61,315,73,14.40188
294.0,80.1,254.0,0.3153543307086613,0.0800999999999999,53.1,74.4,72,69,253,0.319741
146.0,187.4,1600.0,0.117125,0.04685,8.79,59.1,137,134,6,0.3946269
450.0,164.2,173.0,0.9491329479768784,0.0820999999999999,49.66,109.6,57,81,153,1.362835
460.0,190.0,14.0,13.571428571428571,0.095,73.57,127.5,50,99,132,2.184558
560.0,55.8,10.0,5.58,0.0557999999999999,53.27,130.7,52,51,74,2.042118
350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,41.67,81.5,60,0,0,11.56194
480.0,156.4,242.0,0.6462809917355372,0.0782,37.92,93.7,99,95,98,2.855713
